"last_name, first_name","player_id","year","player_age","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg"
"Cabrera, Miguel","408234","2020","37","51","37","4","0","10","51","24",22.1,10.4,".250"
"Cruz Jr., Nelson","443558","2020","39","56","34","6","0","16","58","25",27.1,11.7,".303"
"Peralta, David","444482","2020","32","61","45","10","1","5","45","13",20.6,6,".300"
"Longoria, Evan","446334","2020","34","49","31","10","1","7","39","11",18.7,5.3,".254"
"Cabrera, Asdrúbal","452678","2020","34","46","26","9","3","8","40","19",18.8,8.9,".242"
"Blackmon, Charlie","453568","2020","33","67","48","12","1","6","44","19",17.8,7.7,".303"
"Solano, Donovan","456781","2020","32","62","43","15","1","3","39","10",19.2,4.9,".326"
"McCutchen, Andrew","457705","2020","33","55","36","9","0","10","48","22",19.9,9.1,".253"
"Votto, Joey","458015","2020","36","42","23","8","0","11","43","37",19.3,16.6,".226"
"Santana, Carlos","467793","2020","34","41","26","7","0","8","43","47",16.9,18.4,".199"
"Brantley Jr., Michael","488726","2020","33","51","31","15","0","5","28","17",15,9.1,".300"
"Gurriel, Yuli","493329","2020","36","49","30","12","1","6","27","12",11.7,5.2,".232"
"Escobar, Eduardo","500871","2020","31","43","29","7","3","4","41","15",18.5,6.8,".212"
"Martinez, J.D.","502110","2020","32","45","22","16","0","7","59","22",24.9,9.3,".213"
"Reddick, Josh","502210","2020","33","46","30","11","1","4","42","20",20,9.5,".245"
"Goldschmidt, Paul","502671","2020","32","58","39","13","0","6","43","37",18.6,16,".304"
"Gonzalez, Marwin","503556","2020","31","37","28","4","0","5","41","17",20.6,8.5,".211"
"Altuve, Jose","514888","2020","30","42","28","9","0","5","39","17",18.6,8.1,".219"
"Hernández, César","514917","2020","30","66","43","20","0","3","57","24",21.8,9.2,".283"
"Segura, Jean","516416","2020","30","51","37","5","2","7","45","23",20.7,10.6,".266"
"Marte, Starling","516782","2020","31","64","43","14","1","6","41","12",16.4,4.8,".281"
"Freeman, Freddie","518692","2020","30","73","36","23","1","13","37","45",14.1,17.2,".341"
"Grandal, Yasmani","518735","2020","31","37","22","7","0","8","58","30",29.9,15.5,".230"
"LeMahieu, DJ","518934","2020","31","71","49","10","2","10","21","18",9.7,8.3,".364"
"Rizzo, Anthony","519203","2020","30","45","28","6","0","11","38","28",15.6,11.5,".222"
"Flores, Wilmer","527038","2020","28","53","29","11","1","12","36","13",16.9,6.1,".268"
"García, Avisaíl","541645","2020","29","43","31","10","0","2","49","20",23.7,9.7,".238"
"Ozuna, Marcell","542303","2020","29","77","45","14","0","18","60","38",22.5,14.2,".338"
"Villar, Jonathan","542340","2020","29","43","36","5","0","2","54","19",26.1,9.2,".232"
"Aguilar, Jesús","542583","2020","30","52","34","10","0","8","40","23",18.5,10.6,".277"
"Crawford, Brandon","543063","2020","33","44","24","12","0","8","47","15",24.4,7.8,".256"
"Grossman, Robbie","543257","2020","30","40","18","12","2","8","38","21",19.8,10.9,".241"
"Hicks, Aaron","543305","2020","30","38","20","10","2","6","38","41",18,19.4,".225"
"Rendon, Anthony","543685","2020","30","54","33","11","1","9","31","38",13.4,16.4,".286"
"Semien, Marcus","543760","2020","29","47","30","9","1","7","50","25",21.2,10.6,".223"
"Springer III, George","543807","2020","30","50","28","6","2","14","38","24",17.1,10.8,".265"
"Vázquez, Christian","543877","2020","29","49","33","9","0","7","43","16",22.8,8.5,".283"
"Wong, Kolten","543939","2020","29","48","41","4","2","1","30","20",14.4,9.6,".265"
"Gregorius, Didi","544369","2020","30","61","39","10","2","10","28","15",11.8,6.3,".284"
"Grichuk, Randal","545341","2020","28","59","38","9","0","12","49","13",21.2,5.6,".273"
"Trout, Mike","545361","2020","28","56","28","9","2","17","56","35",23.2,14.5,".281"
"Ruiz, Rio","547004","2020","26","41","21","11","0","9","46","17",22.5,8.3,".222"
"Harper, Bryce","547180","2020","27","51","27","9","2","13","43","49",17.6,20.1,".268"
"Abreu, José","547989","2020","33","76","42","15","0","19","59","18",22.5,6.9,".317"
"Suárez, Eugenio","553993","2020","28","40","17","8","0","15","67","30",29,13,".202"
"González, Erik","570481","2020","28","41","24","13","1","3","51","8",26.4,4.1,".227"
"Arenado, Nolan","571448","2020","29","46","29","9","0","8","20","15",10,7.5,".253"
"Muncy, Max","571970","2020","29","39","23","4","0","12","60","39",24.2,15.7,".192"
"Myers, Wil","571976","2020","29","57","26","14","2","15","56","18",25.7,8.3,".288"
"Pollock, AJ","572041","2020","32","54","29","9","0","16","45","12",21.4,5.7,".276"
"Seager, Kyle","572122","2020","32","49","28","12","0","9","33","32",13.3,12.9,".241"
"Voit III, Luke","572228","2020","29","59","32","5","0","22","54","17",23.1,7.3,".277"
"Walker, Christian","572233","2020","29","59","33","18","1","7","50","19",20.6,7.8,".271"
"Dickerson, Corey","572816","2020","31","50","37","5","1","7","35","15",16.7,7.1,".258"
"Yastrzemski, Mike","573262","2020","29","57","29","14","4","10","55","30",24.4,13.3,".297"
"Contreras, Willson","575929","2020","28","46","29","10","0","7","57","20",25.3,8.9,".243"
"Canha, Mark","592192","2020","31","47","28","12","2","5","54","37",22.2,15.2,".246"
"Castellanos, Nick","592206","2020","28","49","22","11","2","14","69","19",28.5,7.9,".225"
"Machado, Manny","592518","2020","27","68","39","12","1","16","37","26",14.6,10.2,".304"
"Moran, Colin","592567","2020","27","44","24","10","0","10","52","19",26,9.5,".247"
"Realmuto, J.T.","592663","2020","29","46","29","6","0","11","48","16",24.6,8.2,".266"
"Rosario, Eddie","592696","2020","28","54","34","7","0","13","34","19",14.7,8.2,".257"
"Yelich, Christian","592885","2020","28","41","21","7","1","12","76","46",30.8,18.6,".205"
"Merrifield, Whit","593160","2020","31","70","49","12","0","9","33","12",12.5,4.5,".282"
"Bogaerts, Xander","593428","2020","27","61","42","8","0","11","41","21",18.2,9.3,".300"
"Alberto, Hanser","593643","2020","27","62","44","15","0","3","30","5",13,2.2,".283"
"Polanco, Jorge","593871","2020","26","54","42","8","0","4","35","13",15.5,5.8,".258"
"Sanó, Miguel","593934","2020","27","38","13","12","0","13","90","18",43.9,8.8,".204"
"Calhoun, Kole","594777","2020","32","43","18","9","0","16","50","28",21.9,12.3,".226"
"Duvall, Adam","594807","2020","31","45","21","8","0","16","54","15",25.8,7.2,".237"
"Profar, Jurickson","595777","2020","27","50","37","6","0","7","28","15",13.9,7.4,".278"
"Báez, Javier","595879","2020","27","45","27","9","1","8","75","7",31.9,3,".203"
"Lindor, Francisco","596019","2020","26","61","40","13","0","8","41","24",15.4,9,".258"
"Story, Trevor","596115","2020","27","68","40","13","4","11","63","24",24.3,9.3,".289"
"Kepler, Max","596146","2020","27","39","21","9","0","9","36","22",18.4,11.2,".228"
"Franco, Maikel","596748","2020","27","62","38","16","0","8","38","16",15.6,6.6,".278"
"Bradley Jr., Jackie","598265","2020","30","54","36","11","0","7","48","23",22.1,10.6,".283"
"La Stella, Tommy","600303","2020","31","55","34","14","2","5","12","27",5.3,11.8,".281"
"Núñez, Renato","600524","2020","26","50","28","10","0","12","64","17",29.6,7.9,".256"
"Candelario, Jeimer","600869","2020","26","55","34","11","3","7","49","20",23.8,9.7,".297"
"Ahmed, Nick","605113","2020","30","53","37","10","1","5","46","18",21.2,8.3,".266"
"Anderson, Brian","605119","2020","27","51","32","7","1","11","66","22",28.8,9.6,".255"
"Bell, Josh","605137","2020","27","44","33","3","0","8","59","22",26.5,9.9,".226"
"Betts, Mookie","605141","2020","27","64","38","9","1","16","38","24",15.4,9.8,".292"
"Davis, J.D.","605204","2020","27","47","32","9","0","6","56","31",24.5,13.5,".247"
"Arcia, Orlando","606115","2020","25","45","29","10","1","5","32","14",16.9,7.4,".260"
"Tapia, Raimel","606132","2020","26","59","48","8","2","1","38","14",18.4,6.8,".321"
"Hernández, Teoscar","606192","2020","27","55","32","7","0","16","63","14",30.4,6.8,".289"
"Marte, Ketel","606466","2020","26","52","35","14","1","2","21","7",10.8,3.6,".287"
"Nimmo, Brandon","607043","2020","27","52","33","8","3","8","43","33",19.1,14.7,".280"
"Turner, Trea","607208","2020","27","78","47","15","4","12","36","22",13.9,8.5,".335"
"Pillar, Kevin","607680","2020","31","60","39","12","3","6","41","13",18.4,5.8,".288"
"Ramírez, José","608070","2020","27","64","30","16","1","17","43","31",16.9,12.2,".292"
"Gallo, Joey","608336","2020","26","35","17","8","0","10","79","29",35,12.8,".181"
"Seager, Corey","608369","2020","26","65","37","12","1","15","37","17",15.9,7.3,".307"
"Mondesi, Adalberto","609275","2020","24","56","36","11","3","6","70","11",30,4.7,".256"
"Reyes, Franmil","614177","2020","24","58","39","10","0","9","69","24",28.6,10,".275"
"Swanson, Dansby","621020","2020","26","65","40","15","0","10","71","22",26.9,8.3,".274"
"Taylor, Chris","621035","2020","29","50","30","10","2","8","55","26",25.7,12.1,".270"
"Correa, Carlos","621043","2020","25","53","39","9","0","5","49","16",22.2,7.2,".264"
"Olson, Matt","621566","2020","26","41","22","4","1","14","77","34",31.4,13.9,".195"
"Reyes, Victor","622682","2020","25","56","43","7","2","4","45","9",21.1,4.2,".277"
"Alonso, Pete","624413","2020","25","48","26","6","0","16","61","24",25.5,10,".231"
"Biggio, Cavan","624415","2020","25","55","31","16","0","8","61","41",23,15.5,".250"
"Conforto, Michael","624424","2020","27","65","44","12","0","9","57","24",24.5,10.3,".322"
"Frazier, Adam","624428","2020","28","48","34","7","0","7","35","17",15.2,7.4,".230"
"Cronenworth, Jake","630105","2020","26","49","27","15","3","4","30","18",15.6,9.4,".285"
"Anderson, Tim","641313","2020","27","67","45","11","1","10","50","10",22.6,4.5,".322"
"Bellinger, Cody","641355","2020","24","51","29","10","0","12","42","30",17.3,12.3,".239"
"Crawford, J.P.","641487","2020","25","52","41","7","2","2","39","23",16.8,9.9,".255"
"Dozier, Hunter","641531","2020","28","36","24","4","2","6","48","27",25.8,14.5,".228"
"Lewis, Kyle","641786","2020","24","54","40","3","0","11","71","34",29.3,14,".262"
"McMahon, Ryan","641857","2020","25","37","21","6","1","9","66","18",34.2,9.3,".215"
"Smith, Dominic","642086","2020","25","56","24","21","1","10","45","14",22.6,7,".316"
"Adames, Willy","642715","2020","24","48","24","15","1","8","74","20",36.1,9.8,".259"
"Kiner-Falefa, Isiah","643396","2020","25","59","49","4","3","3","32","14",14,6.1,".280"
"McNeil, Jeff","643446","2020","28","57","39","14","0","4","24","20",11.5,9.6,".311"
"Robles, Victor","645302","2020","23","37","28","5","1","3","53","9",28,4.8,".220"
"Devers, Rafael","646240","2020","23","61","33","16","1","11","67","13",27,5.2,".263"
"Jiménez, Eloy","650391","2020","23","63","35","14","0","14","56","12",24.8,5.3,".296"
"Schwarber, Kyle","656941","2020","27","36","19","6","0","11","66","30",29.5,13.4,".188"
"Verdugo, Alex","657077","2020","24","62","40","16","0","6","45","17",20.4,7.7,".308"
"White, Evan","657108","2020","24","32","17","7","0","8","84","18",41.6,8.9,".176"
"Laureano, Ramón","657656","2020","25","39","24","8","1","6","58","24",26.1,10.8,".213"
"Moncada, Yoán","660162","2020","25","45","28","8","3","6","72","28",31.2,12.1,".225"
"Acuña Jr., Ronald","660670","2020","22","40","15","11","0","14","60","38",29.7,18.8,".250"
"Riley, Austin","663586","2020","23","45","29","7","1","8","49","16",23.8,7.8,".239"
"Tucker, Kyle","663656","2020","23","56","29","12","6","9","46","18",20.2,7.9,".268"
"Grisham, Trent","663757","2020","23","54","33","8","3","10","64","31",25.4,12.3,".251"
"Happ, Ian","664023","2020","25","51","27","11","1","12","63","30",27.3,13,".258"
"Lowe, Brandon","664040","2020","25","52","27","9","2","14","58","25",25.9,11.2,".269"
"Fletcher, David","664058","2020","26","66","50","13","0","3","25","20",10.9,8.7,".319"
"Tatis Jr., Fernando","665487","2020","21","62","32","11","2","17","61","27",23.7,10.5,".277"
"Guerrero Jr., Vladimir","665489","2020","21","58","34","13","2","9","38","20",15.6,8.2,".262"
"Soto, Juan","665742","2020","21","54","27","14","0","13","28","41",14.3,20.9,".351"
"Gurriel Jr., Lourdes","666971","2020","26","64","39","14","0","11","48","14",21.4,6.3,".308"
"Reynolds, Bryan","668804","2020","25","35","20","6","2","7","57","21",27.4,10.1,".189"
"Edman, Tommy","669242","2020","25","51","38","7","1","5","48","16",21.1,7,".250"
"Solak, Nick","669256","2020","25","56","44","10","0","2","42","18",18,7.7,".268"
"Hiura, Keston","669374","2020","23","46","29","4","0","13","85","16",34.6,6.5,".212"
"Lopez, Nicky","670032","2020","25","34","25","8","0","1","41","18",21.4,9.4,".201"
"Robert Jr., Luis","673357","2020","22","47","28","8","0","11","73","20",32.2,8.8,".233"
"Cabrera, Miguel","408234","2021","38","121","90","16","0","15","118","40",22.4,7.6,".256"
"Cruz Jr., Nelson","443558","2021","40","136","82","21","1","32","126","51",21.6,8.7,".265"
"Peralta, David","444482","2021","33","126","80","30","8","8","92","46",17.1,8.6,".259"
"Blackmon, Charlie","453568","2021","34","139","97","25","4","13","91","54",15.6,9.3,".270"
"McCutchen, Andrew","457705","2021","34","107","55","24","1","27","132","81",23,14.1,".222"
"Turner, Justin","457759","2021","36","148","99","22","0","27","98","61",16,10,".278"
"Votto, Joey","458015","2021","37","119","59","23","1","36","127","77",23.8,14.4,".266"
"Andrus, Elvis","462101","2021","32","121","91","25","2","3","81","31",15,5.7,".243"
"Santana, Carlos","467793","2021","35","121","87","15","0","19","102","86",15.5,13.1,".214"
"Lowrie, Jed","476704","2021","37","112","70","28","0","14","108","49",21.1,9.6,".245"
"Brantley Jr., Michael","488726","2021","34","146","106","29","3","8","53","33",10.4,6.5,".311"
"Gurriel, Yuli","493329","2021","37","169","123","31","0","15","68","59",11.2,9.8,".319"
"Rojas, Miguel","500743","2021","32","131","89","30","3","9","74","37",13.7,6.9,".265"
"Escobar, Eduardo","500871","2021","32","139","80","26","5","28","124","48",20.7,8,".253"
"Pham, Tommy","502054","2021","33","109","68","24","2","15","128","78",22.8,13.9,".229"
"Martinez, J.D.","502110","2021","33","163","90","42","3","28","150","55",23.7,8.7,".286"
"Goldschmidt, Paul","502671","2021","33","177","108","36","2","31","136","67",20,9.9,".294"
"Altuve, Jose","514888","2021","31","167","103","32","1","31","91","66",13.4,9.7,".278"
"Hernández, César","514917","2021","31","132","88","21","2","21","135","59",21.2,9.3,".232"
"Segura, Jean","516416","2021","31","149","105","27","3","14","78","39",13.8,6.9,".290"
"Marte, Starling","516782","2021","32","145","103","27","3","12","99","43",18.8,8.2,".310"
"Donaldson, Josh","518626","2021","35","113","61","26","0","26","114","74",21,13.6,".247"
"Freeman, Freddie","518692","2021","31","180","122","25","2","31","107","85",15.4,12.2,".300"
"LeMahieu, DJ","518934","2021","32","160","125","24","1","10","94","73",13.8,10.8,".268"
"Rizzo, Anthony","519203","2021","31","123","75","23","3","22","87","52",15.1,9,".248"
"Stanton, Giancarlo","519317","2021","31","139","85","19","0","35","157","63",27.1,10.9,".273"
"Perez, Salvador","521692","2021","31","169","97","24","0","48","170","28",25.6,4.2,".273"
"García, Avisaíl","541645","2021","30","121","74","18","0","29","121","38",23.5,7.4,".262"
"Villar, Jonathan","542340","2021","30","113","75","18","2","18","132","46",26.1,9.1,".249"
"Aguilar, Jesús","542583","2021","31","117","72","23","0","22","93","46",18.2,9,".261"
"Crawford, Brandon","543063","2021","34","144","87","30","3","24","105","56",19.1,10.2,".298"
"Cron, C.J.","543068","2021","31","132","72","31","1","28","117","60",21.4,11,".281"
"Grossman, Robbie","543257","2021","31","133","84","23","3","23","155","98",23.1,14.6,".239"
"Harrison, Josh","543281","2021","33","141","98","33","2","8","75","31",13.4,5.6,".279"
"Hosmer, Eric","543333","2021","31","137","97","28","0","12","99","48",17.5,8.5,".269"
"Semien, Marcus","543760","2021","30","173","87","39","2","45","146","66",20.2,9.1,".265"
"Grichuk, Randal","545341","2021","29","123","75","25","1","22","114","27",20.9,5,".241"
"Harper, Bryce","547180","2021","28","151","73","42","1","35","134","100",22.4,16.7,".309"
"Abreu, José","547989","2021","34","148","86","30","2","30","143","61",21.7,9.3,".261"
"Suárez, Eugenio","553993","2021","29","100","46","23","0","31","171","56",29.8,9.8,".198"
"Schoop, Jonathan","570731","2021","29","173","120","30","1","22","133","37",19.7,5.5,".278"
"Arenado, Nolan","571448","2021","30","151","80","34","3","34","96","50",14.7,7.7,".255"
"Farmer, Kyle","571657","2021","30","127","87","22","2","16","97","22",18.3,4.2,".263"
"Haniger, Mitch","571745","2021","30","157","93","23","2","39","169","54",24.5,7.8,".253"
"Hernández, Enrique","571771","2021","29","127","69","35","3","20","110","61",18.8,10.4,".250"
"Muncy, Max","571970","2021","30","124","60","26","2","36","120","83",20.3,14,".249"
"Seager, Kyle","572122","2021","33","128","63","29","1","35","161","59",24,8.8,".212"
"Taylor, Michael A.","572191","2021","30","118","89","16","1","12","144","33",27.3,6.3,".244"
"Yastrzemski, Mike","573262","2021","30","105","49","28","3","25","131","51",24.6,9.6,".224"
"Iglesias, Jose","578428","2021","31","131","93","27","2","9","75","21",14.7,4.1,".271"
"Bryant, Kris","592178","2021","29","136","77","32","2","25","135","62",23,10.6,".265"
"Canha, Mark","592192","2021","32","120","77","22","4","17","128","77",20.5,12.3,".231"
"Castellanos, Nick","592206","2021","29","164","91","38","1","34","121","41",20.7,7,".309"
"Judge, Aaron","592450","2021","29","158","95","24","0","39","158","75",25,11.8,".287"
"Machado, Manny","592518","2021","28","157","96","31","2","28","102","63",15.9,9.8,".278"
"Realmuto, J.T.","592663","2021","30","125","79","25","4","17","129","48",24,8.9,".263"
"Renfroe, Hunter","592669","2021","29","135","71","33","0","31","130","44",22.7,7.7,".259"
"Merrifield, Whit","593160","2021","32","184","129","42","3","10","103","40",14.3,5.6,".277"
"Bogaerts, Xander","593428","2021","28","156","98","34","1","23","113","62",18.7,10.3,".295"
"Polanco, Jorge","593871","2021","27","158","88","35","2","33","118","45",18.3,7,".269"
"Sanó, Miguel","593934","2021","28","105","51","24","0","30","183","59",34.4,11.1,".223"
"Duvall, Adam","594807","2021","32","117","60","17","2","38","174","35",31.4,6.3,".228"
"Báez, Javier","595879","2021","28","133","82","18","2","31","184","28",33.6,5.1,".265"
"Lindor, Francisco","596019","2021","27","104","65","16","3","20","96","58",18.3,11.1,".230"
"Story, Trevor","596115","2021","28","132","69","34","5","24","139","53",23.4,8.9,".251"
